"Month","weighted_mean_d2H","weighted_mean_d18O","weighted_mean_d","weighted_mean_3H","mean_T","mean_P","mean_T_KO","sum_P_KO"
1,-90.8,-12.76,11.3,4.8,0.5,40,0.8,35
2,-88.4,-12.05,8,5.6,4,40,4.3,36
3,-78.5,-10.81,8,7.1,6.8,38,7,35
4,-55.8,-8.1,9,9.2,11.3,49,11.4,32
5,-47.7,-7.09,9.1,10.4,15.6,116,15.8,65
6,-43.2,-6.34,7.5,11.2,20.8,92,20.9,77
7,-32.9,-5.13,8.2,11.1,22,94,22.2,70
8,-38.3,-6.01,9.8,7.8,21.3,104,21.9,48
9,-54.8,-8.17,10.5,6.8,16.2,93,16.9,66
10,-58.2,-8.55,10.2,4.4,11.5,56,11.7,51
11,-84.2,-12.1,12.7,4.4,5.8,70,6,58
12,-105.7,-14.57,10.8,4.6,1.7,51,2.4,52
